"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.1,3,"additive",0,0.319460450677064,0.319460450677064,0.312657111502785,0.32584605216835,679.282957463154,400,400,0
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.1,3,"recessive",0.333333333333333,0.295603796403742,-0.0377295369295911,0.288484114060847,0.302213516379036,628.555492966023,400,400,0
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.1,3,"dominant",0.666666666666667,0.384935752919194,-0.281730913747473,0.377886210247906,0.392859528559138,818.50600323788,400,400,0
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.1,3,"additive",0,0.294043953806029,0.294043953806029,0.285188332211231,0.302210271269912,610.562440073264,400,400,2
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.1,3,"recessive",0.666666666666667,0.385534629683594,-0.281132036983072,0.373774322237055,0.397630494128516,800.536658501192,400,400,2
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.1,3,"dominant",0.333333333333333,0.320421416510376,-0.0129119168229571,0.313552573769601,0.327317954386704,665.333462511397,400,400,2
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.1,3,"additive",0,0.274955234084733,0.274955234084733,0.265323730188221,0.283544337179101,572.859761266196,400,400,2
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.1,3,"recessive",1,0.466545465338178,-0.533454534661822,0.449946493545993,0.484424280290817,972.0314100698,400,400,2
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.1,3,"dominant",0,0.25849930057709,0.25849930057709,0.249409128953235,0.266927692977728,538.574390514914,400,400,2
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.1,3,"additive",0.333333333333333,0.378859497708125,0.0455261643747921,0.371811925175955,0.38522255836314,834.758583627498,400,400,1
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.1,3,"recessive",0,0.212274213543284,0.212274213543284,0.204100424580517,0.219686790029572,467.71355320369,400,400,1
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.1,3,"dominant",0.666666666666667,0.408866288748591,-0.257800377918076,0.401076388907456,0.417379866863237,900.873928602807,400,400,1
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.1,3,"additive",0.333333333333333,0.359658588670969,0.0263252553376352,0.352837367724303,0.366262977298847,794.940649396317,400,400,2
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.1,3,"recessive",0.333333333333333,0.296348482984771,-0.0369848503485627,0.289791467595999,0.304127928638047,655.008563488096,400,400,2
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.1,3,"dominant",0.333333333333333,0.343992928344261,0.0106595950109276,0.338022892207798,0.350477946897209,760.315394819878,400,400,2
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.1,3,"additive",0.333333333333333,0.340828322457143,0.00749498912380919,0.334309153612249,0.346656297075941,742.781664762258,400,400,2
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.1,3,"recessive",0.666666666666667,0.371156357412457,-0.295510309254209,0.361441853559526,0.382007708821647,808.876841743652,400,400,2
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.1,3,"dominant",0,0.2880153201304,0.2880153201304,0.28041361337772,0.295495075199969,627.684041693437,400,400,2
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.1,3,"additive",0.666666666666667,0.40710295882006,-0.259563707846607,0.399521689995521,0.414671403452711,914.876436061195,400,400,1
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.1,3,"recessive",0,0.216877691260276,0.216877691260276,0.209331221646744,0.224113786649532,487.386016098894,400,400,1
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.1,3,"dominant",0.333333333333333,0.376019349919664,0.0426860165863309,0.369570718795208,0.383383557808897,845.022703204187,400,400,1
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.1,3,"additive",0.666666666666667,0.391780263590195,-0.274886403076472,0.385215895658104,0.398746985624544,885.492471973692,400,400,1
