"scenario","pve","K","coding","bin","n","sum_pip","n_true","sum_brier","mean_pip","observed_frequency","brier"
"Additive + Recessive + Dominant",0.2,4,"dominant",1,2789450,1590.18419765881,1104,1077.24795123041,0.000570070873347368,0.00039577694527595,0.000386186506741621
"Additive only",0.2,4,"dominant",1,930079,492.054116221712,0,5.95604228940643,0.000529045507125429,0,6.40380256882096e-06
"Dominant only",0.2,4,"dominant",1,928872,723.322378119086,1081,1043.71670491224,0.000778710498453055,0.00116377714044562,0.00112363889202414
"Recessive + Dominant",0.2,4,"dominant",1,2787458,1511.66939843993,1619,1569.38708210902,0.000542311094351891,0.000580815926195121,0.000563017301824464
"Recessive only",0.2,4,"dominant",1,930479,268.536627326506,0,0.779331353068429,0.000288600416910544,0,8.37559314147261e-07
"Additive + Dominant",0.3,4,"dominant",1,2787365,1505.52268733301,1187,1152.89850621022,0.000540123983523152,0.000425850220548798,0.000413615908289809
"Additive + Recessive",0.3,4,"dominant",1,2790908,799.305150420894,0,8.03674291805853,0.000286396094181856,0,2.87961585192293e-06
"Additive + Recessive + Dominant",0.3,4,"dominant",1,2788593,1213.8404768255,818,795.2061827478,0.000435287787362839,0.000293337894773457,0.000285163945670021
"Additive only",0.3,4,"dominant",1,930080,340.580118542118,0,5.02174838734474,0.000366183681556552,0,5.39926499585491e-06
"Dominant only",0.3,4,"dominant",1,928087,637.628170588973,774,746.702581486306,0.000687034912232337,0.000833973539118639,0.000804560974872297
"Recessive + Dominant",0.3,4,"dominant",1,2784977,1314.27787473838,1210,1166.67674880571,0.000471916958286686,0.00043447396513508,0.0004189179116401
"Recessive only",0.3,4,"dominant",1,930496,212.721524198911,0,0.517723378770455,0.000228610895908108,0,5.56395061096937e-07
"Additive + Dominant",0.4,4,"dominant",1,2786953,1311.88626860624,939,913.626799455803,0.000470724216951717,0.0003369271028252,0.000327822822794573
"Additive + Recessive",0.4,4,"dominant",1,2791077,659.70938534464,0,5.55182745271519,0.000236363735341103,0,1.98913446412091e-06
