"scenario","pve","K","method","n_cs","covered_cs","purity_sum","recovered","n_causal","n_replicates","n_configurations","coverage","purity","power"
"Recessive only",0.1,2,"SuSiE-mix",455,436,395.646261932904,439,800,400,1,0.958241758241758,0.86955222402836,0.54875
"Recessive only",0.1,3,"SuSiE",80,62,61.6178351468898,66,1200,400,1,0.775,0.770222939336122,0.055
"Recessive only",0.1,3,"SuSiE-mix",320,301,267.852224057931,310,1200,400,1,0.940625,0.837038200181035,0.258333333333333
"Recessive only",0.1,4,"SuSiE",57,45,43.6360717874555,53,1600,400,1,0.789473684210526,0.765545119078167,0.033125
"Recessive only",0.1,4,"SuSiE-mix",265,243,218.631722591757,263,1600,400,1,0.916981132075472,0.825025368270783,0.164375
"Recessive only",0.1,5,"SuSiE",51,41,37.8865902257825,49,2000,400,1,0.803921568627451,0.742874318152597,0.0245
"Recessive only",0.1,5,"SuSiE-mix",181,160,145.957637352998,184,2000,400,1,0.883977900552486,0.806395786480652,0.092
"Recessive only",0.2,1,"SuSiE",359,336,322.920078054595,336,400,400,1,0.935933147632312,0.899498824664609,0.84
"Recessive only",0.2,1,"SuSiE-mix",400,396,391.792306497219,396,400,400,1,0.99,0.979480766243048,0.99
"Recessive only",0.2,2,"SuSiE",408,371,344.231541531241,374,800,400,1,0.909313725490196,0.843704758655002,0.4675
"Recessive only",0.2,2,"SuSiE-mix",775,755,732.011236027749,757,800,400,1,0.974193548387097,0.944530627132579,0.94625
"Recessive only",0.2,3,"SuSiE",300,249,246.087121782943,254,1200,400,1,0.83,0.820290405943143,0.211666666666667
"Recessive only",0.2,3,"SuSiE-mix",974,940,887.2218710414,950,1200,400,1,0.965092402464066,0.910905411746818,0.791666666666667
"Recessive only",0.2,4,"SuSiE",250,213,203.191790817535,223,1600,400,1,0.852,0.812767163270138,0.139375
"Recessive only",0.2,4,"SuSiE-mix",1024,985,905.566096292323,1002,1600,400,1,0.9619140625,0.884341890910471,0.62625
"Recessive only",0.2,5,"SuSiE",222,177,175.660378939238,194,2000,400,1,0.797297297297297,0.791262968194766,0.097
"Recessive only",0.2,5,"SuSiE-mix",859,806,734.594271111757,841,2000,400,1,0.938300349243306,0.855173773121953,0.4205
"Recessive only",0.3,1,"SuSiE",394,366,368.897469954513,366,400,400,1,0.928934010152284,0.93628799480841,0.915
"Recessive only",0.3,1,"SuSiE-mix",400,397,396.594863455017,397,400,400,1,0.9925,0.991487158637543,0.9925
"Recessive only",0.3,2,"SuSiE",617,563,547.589225275796,564,800,400,1,0.912479740680713,0.887502796233056,0.705
"Recessive only",0.3,2,"SuSiE-mix",791,773,772.26414028117,774,800,400,1,0.97724399494311,0.976313704527396,0.9675
"Recessive only",0.3,3,"SuSiE",581,508,490.371816956647,512,1200,400,1,0.874354561101549,0.844013454314367,0.426666666666667
"Recessive only",0.3,3,"SuSiE-mix",1145,1112,1091.0921045972,1120,1200,400,1,0.97117903930131,0.952918868643846,0.933333333333333
"Recessive only",0.3,4,"SuSiE",537,465,450.042264222627,479,1600,400,1,0.865921787709497,0.838067531140832,0.299375
"Recessive only",0.3,4,"SuSiE-mix",1433,1397,1340.0224311828,1412,1600,400,1,0.974877878576413,0.93511683962512,0.8825
"Recessive only",0.3,5,"SuSiE",443,374,367.112671906604,397,2000,400,1,0.844243792325056,0.828696776312876,0.1985
"Recessive only",0.3,5,"SuSiE-mix",1560,1489,1420.17145419463,1518,2000,400,1,0.95448717948718,0.91036631679143,0.759
"Recessive only",0.4,1,"SuSiE",409,374,390.23085408038,374,400,400,1,0.914425427872861,0.954109667678192,0.935
"Recessive only",0.4,1,"SuSiE-mix",400,398,398.538875594377,398,400,400,1,0.995,0.996347188985943,0.995
